short_day,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,month
2016-12-25 00:00:00,29.245833333333326,8.291666666666666,19.041666666666668,62.833333333333336,04
2016-12-26 00:00:00,29.075416666666666,1.8333333333333333,8.875,73.83333333333333,04
2016-12-27 00:00:00,29.3588888888889,-0.2222222222222222,4.138888888888889,81.80555555555556,04
2016-12-28 00:00:00,29.78019230769231,1.5384615384615385,5.326923076923077,84.03846153846153,04
2016-12-29 00:00:00,29.736904761904757,2.3333333333333335,6.285714285714286,83.54761904761905,04
2016-12-30 00:00:00,29.85418604651161,23.767441860465116,28.3953488372093,83.23255813953489,04
2016-12-31 00:00:00,30.42535714285714,22.464285714285715,29.892857142857142,73.92857142857143,04
2017-01-01 00:00:00,30.426666666666673,13.25,20.958333333333332,72.79166666666667,05
2017-01-02 00:00:00,30.51333333333332,7.958333333333333,12.541666666666666,81.91666666666667,05
2017-01-03 00:00:00,30.584,12.022222222222222,15.777777777777779,85.33333333333333,05
2017-01-04 00:00:00,30.651084337349413,16.14457831325301,17.96385542168675,92.50602409638554,05
2017-01-05 00:00:00,30.658333333333342,13.36111111111111,18.944444444444443,79.30555555555556,05
2017-01-06 00:00:00,30.971851851851856,-15.62962962962963,-10.62962962962963,77.81481481481481,05
2017-01-07 00:00:00,30.644999999999996,-24.583333333333332,-18.791666666666668,74.08333333333333,05
2017-01-08 00:00:00,30.46375,-30.291666666666668,-24.0,71.16666666666667,05
2017-01-09 00:00:00,30.295833333333324,-26.583333333333332,-20.666666666666668,73.20833333333333,05
2017-01-10 00:00:00,30.208749999999995,-25.375,-19.708333333333332,74.0,05
2017-01-11 00:00:00,30.072222222222216,-17.444444444444443,-12.296296296296296,77.29629629629629,05
2017-01-12 00:00:00,29.841666666666672,-6.166666666666667,-1.4166666666666667,80.1875,05
2017-01-13 00:00:00,29.27535714285715,-10.714285714285714,-5.75,78.96428571428571,05
2017-01-14 00:00:00,29.098478260869566,-2.5434782608695654,2.652173913043478,78.54347826086956,05
2017-01-15 00:00:00,29.466470588235296,-30.41176470588235,-25.0,74.70588235294117,05
2017-01-16 00:00:00,29.075151515151497,-18.90909090909091,-13.378787878787879,75.66666666666667,05
2017-01-17 00:00:00,29.419642857142843,-24.214285714285715,-17.678571428571427,71.10714285714286,05
2017-01-19 00:00:00,29.439999999999998,-23.333333333333332,-14.666666666666666,64.0,05
2017-01-20 00:00:00,29.52789473684212,-13.157894736842104,-6.078947368421052,71.15789473684211,05
2017-01-21 00:00:00,29.88499999999999,-27.115384615384617,-20.307692307692307,69.92307692307692,05
2017-01-22 00:00:00,29.887727272727275,-30.181818181818183,-23.636363636363637,70.36363636363636,05
2017-01-23 00:00:00,29.423636363636366,-27.363636363636363,-20.90909090909091,71.0,05
2017-01-24 00:00:00,29.307916666666667,-22.0,-15.583333333333334,71.95833333333333,05
2017-01-25 00:00:00,29.262083333333333,-9.666666666666666,-4.333333333333333,77.45833333333333,05
2017-01-26 00:00:00,29.243333333333336,16.208333333333332,25.25,69.29166666666667,05
2017-01-27 00:00:00,29.277499999999993,17.833333333333332,28.958333333333332,63.291666666666664,05
2017-01-28 00:00:00,29.536250000000003,14.625,17.75,87.95,05
2017-01-29 00:00:00,30.039999999999992,4.458333333333333,7.791666666666667,86.125,05
2017-01-30 00:00:00,30.228749999999994,7.416666666666667,15.083333333333334,72.125,05
2017-01-31 00:00:00,30.36833333333333,6.958333333333333,13.958333333333334,74.33333333333333,05
2017-02-01 00:00:00,30.820196078431394,-7.372549019607843,-3.5686274509803924,83.45098039215686,05
2017-02-02 00:00:00,30.88409090909088,-11.977272727272727,-7.545454545454546,80.5909090909091,05
2017-02-03 00:00:00,30.6525,-14.125,-8.958333333333334,77.54166666666667,05
2017-02-04 00:00:00,30.377499999999998,-15.333333333333334,-10.291666666666666,77.95833333333333,05
2017-02-05 00:00:00,30.209375000000005,-19.84375,-14.53125,76.40625,05
2017-02-06 00:00:00,30.05541666666666,-5.708333333333333,4.666666666666667,63.416666666666664,05
2017-02-07 00:00:00,30.107741935483862,-16.29032258064516,-11.225806451612904,77.64516129032258,05
2017-02-08 00:00:00,29.87203703703703,0.5740740740740741,4.444444444444445,83.83333333333333,05
2017-02-09 00:00:00,29.527894736842114,-4.473684210526316,0.10526315789473684,80.84210526315789,05
2017-02-10 00:00:00,29.44346153846154,-17.23076923076923,-10.23076923076923,70.92307692307692,05
2017-02-11 00:00:00,29.417826086956516,-28.391304347826086,-21.608695652173914,69.91304347826087,05
2017-02-12 00:00:00,29.474500000000006,-26.6,-18.95,67.0,05
2017-02-13 00:00:00,29.05083333333333,-9.625,-2.7916666666666665,72.20833333333333,05
2017-02-14 00:00:00,28.753448275862073,6.344827586206897,11.655172413793103,79.10344827586206,05
2017-02-15 00:00:00,28.868750000000002,10.708333333333334,15.0,83.375,05
2017-02-16 00:00:00,29.13291666666667,6.958333333333333,12.333333333333334,79.54166666666667,05
2017-02-17 00:00:00,29.370833333333337,-0.20833333333333334,6.083333333333333,75.83333333333333,05
2017-02-18 00:00:00,29.61999999999999,-5.083333333333333,0.8333333333333334,76.16666666666667,05
2017-02-19 00:00:00,29.799302325581394,-1.7906976744186047,3.4651162790697674,78.51162790697674,05
2017-02-20 00:00:00,30.004999999999985,-12.142857142857142,-5.833333333333333,73.88095238095238,05
2017-02-21 00:00:00,30.15263157894736,-18.94736842105263,-10.789473684210526,66.94736842105263,05
2017-02-22 00:00:00,30.187777777777757,-1.0925925925925926,4.351851851851852,78.0,05
2017-02-23 00:00:00,30.30537037037038,8.925925925925926,12.962962962962964,83.83333333333333,05
2017-02-24 00:00:00,30.195476190476196,27.142857142857142,30.714285714285715,87.02380952380952,05
2017-02-25 00:00:00,30.30486486486487,28.405405405405407,32.486486486486484,85.21621621621621,05
2017-02-26 00:00:00,30.10727272727272,25.704545454545453,31.34090909090909,79.72727272727273,05
2017-02-27 00:00:00,29.91478260869566,18.565217391304348,23.91304347826087,80.76086956521739,05
2017-02-28 00:00:00,30.12351351351351,-1.7297297297297298,8.027027027027026,65.89189189189189,05
2017-03-01 00:00:00,30.31791666666666,-22.083333333333332,-12.541666666666666,63.958333333333336,05
2017-03-02 00:00:00,30.16444444444444,-24.61111111111111,-16.88888888888889,67.55555555555556,05
2017-03-03 00:00:00,30.39565217391304,-20.47826086956522,-10.652173913043478,62.21739130434783,05
2017-03-04 00:00:00,30.198571428571448,2.9591836734693877,9.36734693877551,75.3265306122449,05
2017-03-05 00:00:00,30.3108,-13.72,-3.6,64.68,05
2017-03-06 00:00:00,30.356086956521747,-24.347826086956523,-14.478260869565217,61.69565217391305,05
2017-03-07 00:00:00,30.525333333333332,-22.533333333333335,-9.933333333333334,54.333333333333336,05
2017-03-08 00:00:00,30.776875000000004,-25.5,-15.875,62.0,05
2017-03-09 00:00:00,30.702222222222222,-16.666666666666668,-2.5,51.5,05
2017-03-10 00:00:00,30.49000000000002,1.163265306122449,7.428571428571429,75.83673469387755,05
2017-03-11 00:00:00,30.232500000000005,-1.125,13.958333333333334,52.583333333333336,05
2017-03-12 00:00:00,30.01541666666667,-5.958333333333333,3.0833333333333335,67.125,05
2017-03-13 00:00:00,29.851500000000005,-6.975,-1.325,76.925,05
2017-03-14 00:00:00,29.862916666666674,-15.458333333333334,-6.333333333333333,65.66666666666667,05
2017-03-15 00:00:00,30.013333333333332,-19.904761904761905,-7.285714285714286,55.38095238095238,05
2017-03-16 00:00:00,30.252608695652157,-20.47826086956522,-9.826086956521738,60.78260869565217,05
2017-03-17 00:00:00,30.1578947368421,-21.42105263157895,-11.263157894736842,61.526315789473685,05
2017-03-18 00:00:00,29.917826086956524,-21.82608695652174,-10.652173913043478,59.608695652173914,05
2017-03-19 00:00:00,29.966250000000006,-17.125,-6.5,61.5,05
2017-03-20 00:00:00,30.07541666666666,-11.166666666666666,-0.125,61.125,05
2017-03-21 00:00:00,30.164583333333336,-13.0,-2.7083333333333335,63.5,05
2017-03-22 00:00:00,29.96375,-12.208333333333334,-0.5833333333333334,60.041666666666664,05
2017-03-23 00:00:00,29.96291666666666,-5.666666666666667,5.041666666666667,63.25,05
2017-03-24 00:00:00,30.00916666666667,-9.875,0.08333333333333333,64.66666666666667,05
2017-03-25 00:00:00,29.867500000000007,-10.75,0.4583333333333333,61.375,05
2017-03-26 00:00:00,29.832916666666666,-8.375,4.166666666666667,58.875,05
2017-03-27 00:00:00,29.58458333333334,-2.2083333333333335,9.875,60.0,05
2017-03-28 00:00:00,29.52541666666666,6.791666666666667,17.333333333333332,63.416666666666664,05
2017-03-29 00:00:00,29.64333333333332,9.25,17.583333333333332,70.375,05
2017-03-30 00:00:00,29.595357142857146,11.321428571428571,17.928571428571427,76.42857142857143,05
2017-03-31 00:00:00,29.225000000000005,17.041666666666668,27.625,66.70833333333333,05
2017-04-01 00:00:00,29.34166666666667,21.833333333333332,34.25,62.75,05
2017-04-02 00:00:00,29.69928571428571,26.464285714285715,37.0,68.03571428571429,05
